Customer ID,recency,frequency,monetary,R,F,M,RFM_Score,Segment
12360,74,129,2662.06,3,5,5,355,Frequent Buyer
12449,44,191,4067.29,4,5,5,455,Frequent Buyer
12490,27,245,5417.93,5,5,5,555,Champion
12512,88,31,132.18,3,3,1,331,Others
12581,61,15,197.71,3,2,1,321,Others
12603,43,3,739.2,4,1,3,413,Others
12640,45,53,1174.58,4,3,4,434,Others
12688,135,171,4873.81,2,5,5,255,Frequent Buyer
12717,173,55,1030.98,2,3,4,234,Others
13016,95,47,789.89,2,3,3,233,Others
13116,160,30,501.14,2,3,3,233,Others
13124,111,215,3708.73,2,5,5,255,Frequent Buyer
13185,289,1,71.4,1,1,1,111,At Risk
13199,25,119,9817.12,5,5,5,555,Champion
13357,279,85,584.9,1,4,3,143,At Risk
13422,86,127,2626.3,3,5,5,355,Frequent Buyer
13455,46,46,1058.34,4,3,4,434,Others
13505,94,215,4393.63,2,5,5,255,Frequent Buyer
13515,94,59,891.12,2,4,3,243,Others
13546,34,95,605.69,5,4,3,543,Recent Customer
13594,74,26,396.97,3,2,2,322,Others
13623,52,78,727.74,4,4,3,443,Others
13652,67,63,1095.08,3,4,4,344,Others
13670,97,25,349.7,2,2,2,222,Others
13747,395,1,79.6,1,1,1,111,At Risk
13808,27,76,1747.66,5,4,4,544,Recent Customer
13817,51,24,382.98,4,2,2,422,Others
13837,233,18,266.59,1,2,2,122,At Risk
14052,41,56,225.36,4,3,1,431,Others
14089,78,13,158.75,3,1,1,311,Others
14180,32,240,4748.5199999999995,5,5,5,555,Champion
14335,38,59,451.11,4,4,2,442,Others
14351,186,1,51.0,2,1,1,211,Others
14400,171,25,574.7,2,2,3,223,Others
14449,40,237,842.53,4,5,3,453,Frequent Buyer
14462,88,223,1949.35,3,5,4,354,Frequent Buyer
14488,89,46,1064.28,3,3,4,334,Others
14755,31,235,5010.28,5,5,5,555,Champion
14776,73,117,2538.2999999999997,3,4,5,345,Big Spender
14785,32,3,77.4,5,1,1,511,Recent Customer
15004,169,154,1220.77,2,5,4,254,Frequent Buyer
15129,72,84,3447.4,3,4,5,345,Big Spender
15152,31,271,4745.69,5,5,5,555,Champion
15160,379,4,158.16,1,1,1,111,At Risk
15186,36,19,411.40999999999997,4,2,2,422,Others
15236,320,15,321.05,1,2,2,122,At Risk
15239,32,49,780.59,5,3,3,533,Recent Customer
15292,223,24,178.39,1,2,1,121,At Risk
15349,180,70,461.36,2,4,2,242,Others
15355,51,14,277.05,4,2,2,422,Others
15516,66,15,62.43,3,2,1,321,Others
15527,40,159,2330.93,4,5,5,455,Frequent Buyer
15601,33,410,6776.56,5,5,5,555,Champion
15630,67,60,1186.35,3,4,4,344,Others
15800,129,117,696.89,2,4,3,243,Others
15886,82,12,181.09,3,1,1,311,Others
15889,178,82,414.61,2,4,2,242,Others
15906,41,148,1552.19,4,5,4,454,Frequent Buyer
15957,53,40,418.49,4,3,2,432,Others
15993,30,523,2727.63,5,5,5,555,Champion
16124,339,11,249.0,1,1,2,112,At Risk
16135,284,21,517.55,1,2,3,123,At Risk
16306,235,41,632.27,1,3,3,133,At Risk
16361,31,100,876.52,5,4,3,543,Recent Customer
16393,24,318,2968.66,5,5,5,555,Champion
16471,296,13,223.95,1,1,1,111,At Risk
16626,22,179,4413.1,5,5,5,555,Champion
16681,94,44,1770.34,2,3,4,234,Others
16721,284,37,292.47,1,3,2,132,At Risk
16738,319,1,3.75,1,1,1,111,At Risk
16755,136,164,1471.68,2,5,4,254,Frequent Buyer
16796,111,18,305.62,2,2,2,222,Others
16966,30,28,2154.9700000000003,5,2,5,525,Recent Customer
17033,108,28,1030.14,2,2,4,224,Others
17085,145,186,1562.4,2,5,4,254,Frequent Buyer
17111,69,29,231.61,3,3,1,331,Others
17169,79,54,835.78,3,3,3,333,Others
17171,311,16,224.91,1,2,1,121,At Risk
17282,152,88,1684.01,2,4,4,244,Others
17357,46,41,372.36,4,3,2,432,Others
17388,99,15,1259.56,2,2,4,224,Others
17392,328,54,398.34,1,3,2,132,At Risk
17400,148,199,2068.02,2,5,5,255,Frequent Buyer
17503,24,38,558.96,5,3,3,533,Recent Customer
17581,22,439,11025.24,5,5,5,555,Champion
17582,258,28,173.62,1,2,1,121,At Risk
17619,334,71,210.36,1,4,1,141,At Risk
17705,25,103,1823.52,5,4,4,544,Recent Customer
17867,52,62,1106.77,4,4,4,444,Others
17869,129,40,428.18,2,3,2,232,Others
17873,102,42,1838.76,2,3,4,234,Others
17893,247,15,107.21,1,2,1,121,At Risk
17966,59,68,1098.43,3,4,4,344,Others
18056,310,19,363.65,1,2,2,122,At Risk
18099,149,19,168.31,2,2,1,221,Others
18127,41,43,339.93,4,3,2,432,Others
18217,51,31,621.75,4,3,3,433,Others
18219,24,114,2069.77,5,4,5,545,Recent Customer
18224,285,10,158.95,1,1,1,111,At Risk
18239,240,88,1561.61,1,4,4,144,At Risk
